num_experience,reward
1,-17.000000000000007
2,4.8999999999999995
3,4.4
4,4.600000000000001
5,4.7
6,3.600000000000003
7,4.300000000000001
8,5.1
9,4.100000000000001
10,-17.000000000000007
11,5.1
12,-15.999999999999996
13,6.199999999999999
14,-15.999999999999998
15,5.699999999999999
16,4.4
17,-15.999999999999998
18,6.199999999999999
19,4.4
20,5.3
21,-17.000000000000007
22,-29.00000000000001
23,-15.999999999999998
24,6.3
25,5.1
26,-15.999999999999998
27,6.4
28,-15.999999999999998
29,-13.6
30,-15.999999999999996
