num_experience,reward
1,-17.000000000000007
2,3.900000000000002
3,-15.999999999999998
4,-31.000000000000014
5,4.7
6,2.0
7,-22.000000000000007
8,5.1
9,-32.00000000000001
10,-17.000000000000007
11,2.5000000000000036
12,-35.000000000000014
13,6.199999999999999
14,-15.999999999999998
15,5.699999999999999
16,4.5
17,-15.999999999999996
18,6.199999999999999
19,-17.199999999999996
20,-14.7
21,-17.000000000000007
22,-17.000000000000007
23,-18.000000000000007
24,6.3
25,-17.9
26,-26.00000000000001
27,6.4
28,-15.999999999999998
29,-13.6
30,-15.999999999999996
